"","Reported.Year","Property.ID..","Commercial.Property..Property.Street.Address","Building.Name","Total.SqFt","Category","Year.Built","kWh.sqft","Percentile.Rank","Received.Date","Site.EUI..kBTU.sqft.","Portfolio.Manager.SqFt","Total.Green.House.Gas.Emissions..MtCO2e.","Portfolio.Manager.Organization","GeoLocation","Submitted.Name.of.Organization","GeoLocation_clean","lat","long"
"1106",2017,"100289","2001 S LAMAR BLVD, AUSTIN TX, 78704","2001 S LAMAR BLVD, AUSTIN TX, 78704",23970,"WAREHOUSE","1984",9.087,67.3,"",NA,NA,NA,NA,"2001 S LAMAR BLVD
AUSTIN, TX 78704
(30.24935, -97.767604)","Martine Properties","30.24935, -97.767604",30.24935,-97.767604
"1107",2017,"198924","1165 AIRPORT BLVD Austin TX 78702","1165 AIRPORT BLVD Austin TX 78702",26940,"OFFICE MED 10-35","1984",0.614,1.78,"",NA,NA,NA,NA,"1165 AIRPORT BLVD
Austin, TX 78702
(30.274526, -97.698338)","Byram Properties","30.274526, -97.698338",30.274526,-97.698338
"1108",2017,"377742","10200 N LAMAR BLVD, AUSTIN TX, 78753","10200 N LAMAR BLVD, AUSTIN TX, 78753",20000,"WAREHOUSE","2002",8.13,56.19,"",NA,NA,NA,NA,"10200 N LAMAR BLVD
AUSTIN, TX 78753
(30.371187, -97.692443)","Masterson Centre","30.371187, -97.692443",30.371187,-97.692443
"1109",2017,"820050","11501 BURNET RD, AUSTIN TX, 78758","11501 BURNET RD, AUSTIN TX, 78758",1145460,"","1990",29.393,NA,"",NA,NA,NA,NA,"11501 BURNET RD
AUSTIN, TX 78758
(30.402341, -97.717632)","IBM","30.402341, -97.717632",30.402341,-97.717632
"1110",2017,"105134","1100 W CESAR CHAVEZ ST, AUSTIN, TX 78703","1100 W CESAR CHAVEZ ST, AUSTIN, TX 78703",60000,"RECREATION","1990",17.063,92.86,"",NA,NA,NA,NA,"1100 W CESAR CHAVEZ ST
AUSTIN, TX 78703
(30.267894, -97.758216)","YMCA of Austin","30.267894, -97.758216",30.267894,-97.758216
"1111",2017,"259417","12012 PARK THIRTY FIVE CIR, AUSTIN TX, 78753","12012 PARK THIRTY FIVE CIR, AUSTIN TX, 78753",23000,"OFFICE LG > 35000","2000",11.36,21.23,"",NA,NA,NA,NA,"12012 PARK THIRTY FIVE CIR
AUSTIN, TX 78753
(30.38992, -97.673629)","Girl Scouts of Central Texas","30.38992, -97.673629",30.38992,-97.673629
"1112",2017,"316390","134 SHERATON AVE, AUSTIN TX, 78745","134 SHERATON AVE, AUSTIN TX, 78745",17800,"MINI WAREHOUSE","1977",0.044,1.16,"",NA,NA,NA,NA,"134 SHERATON AVE
AUSTIN, TX 78745
(30.214344, -97.766989)","Life Storage, Inc.","30.214344, -97.766989",30.214344,-97.766989
"1113",2017,"203903","2005 UNIVERSITY AVE AUSTIN TX 78705","2005 UNIVERSITY AVE AUSTIN TX 78705",14601,"DORMITORY\RETIREMENT FACILITY","1950",12.936,NA,"",NA,NA,NA,NA,"2005 UNIVERSITY AVE
AUSTIN, TX 78705
(30.283061, -97.739613)","Alpha Phi Building Association","30.283061, -97.739613",30.283061,-97.739613
"1114",2017,"728135","12001 BURNET RD, AUSTIN TX, 78758","12001 BURNET RD, AUSTIN TX, 78758",16261,"RETAIL CENTER","2004",53.856,95.12,"",NA,NA,NA,NA,"12001 BURNET RD
AUSTIN, TX 78758
(30.408019, -97.713677)","Alori Properties","30.408019, -97.713677",30.408019,-97.713677
"1115",2017,"225473","937 REINLI ST, AUSTIN TX, 78751","25611-Austin/Highland Mall",109689,"MINI WAREHOUSE","1983",NA,NA,"05/15/2017 12:00:00 AM",2.7,109689,NA,NA,"937 REINLI ST
AUSTIN, TX 78751
(30.319365, -97.709077)","Public Storage","30.319365, -97.709077",30.319365,-97.709077
"1116",2017,"459999","1300 PARK CENTER DR, Austin, TX 78753","#9552 Austin Data Center",158300,"COMPUTER DATA CENTER","1999",NA,NA,"04/10/2017 12:00:00 AM",NA,158300,NA,NA,"1300 PARK CENTER DR
Austin, TX 78753
(30.340053, -97.685456)","Home Depot","30.340053, -97.685456",30.340053,-97.685456
"1117",2017,"260117","2415 KRAMER LA, AUSTIN TX, 78758","2415 KRAMER LA, AUSTIN TX, 78758",13484,"WAREHOUSE","1978",5.854,37.78,"",NA,NA,NA,NA,"2415 KRAMER LA
AUSTIN, TX 78758
(30.393016, -97.715741)","Stream Realty Partners","30.393016, -97.715741",30.393016,-97.715741
"1119",2017,"256622","1826 KRAMER LA, AUSTIN TX, 78758","1826 KRAMER LA, AUSTIN TX, 78758",45242,"INDUSTRIAL","1984",14.607,72.08,"",NA,NA,NA,NA,"1826 KRAMER LA
AUSTIN, TX 78758
(30.386712, -97.7062)","Endeavor Real Estate Group","30.386712, -97.7062",30.386712,-97.7062
"1121",2017,"R070708","12835 POND SPRINGS RD, AUSTIN TX, 78729","12835 POND SPRINGS RD, AUSTIN TX, 78729",98130,"WAREHOUSE","1988",1.044,14.6,"",NA,NA,NA,NA,"12835 POND SPRINGS RD
AUSTIN, TX 78729
(30.43561, -97.770332)","Life Storage Inc","30.43561, -97.770332",30.43561,-97.770332
"1122",2017,"R372505","13529 Research Blvd, Austin TX 78750","13201 N Ranch Road 620 Bldg G Austin TX 78750",26702,"RETAIL CENTER","2010",0.053,NA,"",NA,NA,NA,NA,"13529 Research Blvd
Austin, TX 78750
(30.45069, -97.79045)","Lowes","30.45069, -97.79045",30.45069,-97.79045
"1123",2017,"460885, 460887","9503 RESEARCH BLVD, AUSTIN TX, 78759","07826-Austin 05",133727,"RETAIL CENTER","1993",NA,NA,"05/24/2017 12:00:00 AM",NA,28700,NA,NA,"9503 RESEARCH BLVD
AUSTIN, TX 78759
(30.386189, -97.742468)","The Hudson's Bay Company","30.386189, -97.742468",30.386189,-97.742468
"1124",2017,"236516","100 E ANDERSON LA, AUSTIN TX, 78752","100 E ANDERSON LA, AUSTIN TX, 78752",17928,"BANKING","1975",12.315,16,"",NA,NA,NA,NA,"100 E ANDERSON LA
AUSTIN, TX 78752
(30.343848, -97.70474)","DBGS Anderson Lane LP","30.343848, -97.70474",30.343848,-97.70474
"1125",2017,"820994","2111 ALEXANDER AVE AUSTIN TX 78722","2111 ALEXANDER AVE AUSTIN TX 78722",27828,"CONGREGATION FACILITY","2009",12.082,NA,"",NA,NA,NA,NA,"2111 ALEXANDER AVE
AUSTIN, TX 78722
(30.283861, -97.709867)","Redeemer Presbyterian Church","30.283861, -97.709867",30.283861,-97.709867
"1126",2017,"287640","2121 E OLTORF ST, AUSTIN TX, 78741","2121 E OLTORF ST, AUSTIN TX, 78741",33910,"RETAIL CENTER","1986",20.823,66.58,"",NA,NA,NA,NA,"2121 E OLTORF ST
AUSTIN, TX 78741
(30.230406, -97.732407)","Oltorf Market","30.230406, -97.732407",30.230406,-97.732407
"1127",2017,"504161, 505325","1700 W PARMER LA, AUSTIN TX, 78727","1700 W PARMER LA, AUSTIN TX, 78727",90139,"RETAIL CENTER","2001",22.341,76.92,"",NA,NA,NA,NA,"1700 W PARMER LA
AUSTIN, TX 78727
(30.412512, -97.688909)","InvenTrust Property Management, L.L.C.","30.412512, -97.688909",30.412512,-97.688909
"1128",2017,"230773","2535 RIDGEPOINT  DR, AUSTIN TX,  78754","2535 RIDGEPOINT  DR, AUSTIN TX,  78754",81000,"INDUSTRIAL (W/sqft > 3)","1996",31.415,85.83,"",NA,NA,NA,NA,"2535 RIDGEPOINT DR
AUSTIN, TX 78754
(30.328153, -97.671882)","Stream Realty","30.328153, -97.671882",30.328153,-97.671882
"1129",2017,"192810","111 E CESAR CHAVEZ ST, AUSTIN TX, 78702","111 E CESAR CHAVEZ ST, AUSTIN TX, 78702",335827,"MOTEL\HOTEL","1964",14.955,64.79,"",NA,NA,NA,NA,"111 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.263215, -97.743895)","Radisson Hotel","30.263215, -97.743895",30.263215,-97.743895
"1130",2017,"204170","2613 ROGERS AVE, AUSTIN TX, 78722","2613 ROGERS AVE, AUSTIN TX, 78722",62858,"EDUCATIONAL FACILITY","1992",9.487,14.57,"",NA,NA,NA,NA,"2613 ROGERS AVE
AUSTIN, TX 78722
(30.2831, -97.713791)","AISD","30.2831, -97.713791",30.2831,-97.713791
"1131",2017,"426752","12429 SCOFIELD FARMS DR, AUSTIN TX, 78758","24782-Brookdale Parmer Lane",88756,"DORMITORY\RETIREMENT FACILITY","1997",NA,NA,"05/05/2017 12:00:00 AM",57.6,86406,NA,NA,"12429 SCOFIELD FARMS DR
AUSTIN, TX 78758
(30.410225, -97.687322)","Brookdale Senior Living","30.410225, -97.687322",30.410225,-97.687322
"1133",2017,"323203","1010 TURTLE CREEK BLVD, AUSTIN TX, 78745","1010 TURTLE CREEK BLVD, AUSTIN TX, 78745",74833,"EDUCATIONAL FACILITY","1970",11.764,76.82,"",NA,NA,NA,NA,"1010 TURTLE CREEK BLVD
AUSTIN, TX 78745
(30.205258, -97.789696)","AISD","30.205258, -97.789696",30.205258,-97.789696
"1134",2017,"755355","2500 MONTOPOLIS DR, AUSTIN TX, 78741","2500 MONTOPOLIS DR, AUSTIN TX, 78741",120000,"INDUSTRIAL (W/sqft > 3)","2007",62.808,94.38,"",NA,NA,NA,NA,"2500 MONTOPOLIS DR
AUSTIN, TX 78741
(30.219858, -97.707145)","Signature Flight Support","30.219858, -97.707145",30.219858,-97.707145
"1135",2017,"818788","2224 WALSH TARLTON LN AUSTIN TX 78746","2224 WALSH TARLTON LN AUSTIN TX 78746",26313,"OFFICE MED 10-35","1983",19.269,NA,"",NA,NA,NA,NA,"2224 WALSH TARLTON LN
AUSTIN, TX 78746
(30.261419, -97.809469)","CBRE in support of JPMChase","30.261419, -97.809469",30.261419,-97.809469
"1136",2017,"256625","11009 METRIC BLVD, AUSTIN TX, 78758","11009 METRIC BLVD, AUSTIN TX, 78758",42788,"INDUSTRIAL (W/sqft > 3)","1989",13.078,63.33,"",NA,NA,NA,NA,"11009 METRIC BLVD
AUSTIN, TX 78758
(30.389164, -97.710066)","Endeavor Real Estate Group","30.389164, -97.710066",30.389164,-97.710066
"1137",2017,"196009","1144 AIRPORT BLVD, AUSTIN TX, 78702","1144 AIRPORT BLVD, AUSTIN TX, 78702",90080,"RETAIL CENTER","1963",34.458,86.12,"",NA,NA,NA,NA,"1144 AIRPORT BLVD
AUSTIN, TX 78702
(30.272293, -97.697526)","Housing Authority of the City of Austin","30.272293, -97.697526",30.272293,-97.697526
"1138",2017,"255060","2136 RUTLAND DR, AUSTIN TX, 78758","2136 RUTLAND DR, AUSTIN TX, 78758",53965,"INDUSTRIAL","1973",8.319,52.08,"",NA,NA,NA,NA,"2136 RUTLAND DR
AUSTIN, TX 78758
(30.381313, -97.717359)","HPI","30.381313, -97.717359",30.381313,-97.717359
"1139",2017,"192207","2608 GONZALES ST, AUSTIN TX, 78702","2608 GONZALES ST, AUSTIN TX, 78702",23075,"CITY OF AUSTIN",".",10.731,36.21,"",NA,NA,NA,NA,"2608 GONZALES ST
AUSTIN, TX 78702
(30.261364, -97.712134)","Austin Energy","30.261364, -97.712134",30.261364,-97.712134
"1140",2017,"291759","2100 E ST ELMO RD, AUSTIN TX, 78744","2100 E ST ELMO RD, AUSTIN TX, 78744",45834,"INDUSTRIAL (W/sqft > 3)","1982",11.051,61.67,"",NA,NA,NA,NA,"2100 E ST ELMO RD
AUSTIN, TX 78744
(30.209759, -97.74644)","Stream Realty","30.209759, -97.74644",30.209759,-97.74644
"1141",2017,"R442308","9420 SPECTRUM DR, AUSTIN TX, 78717","25790-Austin/Spectrum Dr & Palmer LN",115356,"","",NA,NA,"05/15/2017 12:00:00 AM",NA,115356,NA,NA,"9420 SPECTRUM DR
AUSTIN, TX 78717
(30.482406, -97.765374)","Public Storage","30.482406, -97.765374",30.482406,-97.765374
"1142",2017,"206754","2323 SAN ANTONIO ST, AUSTIN TX, 78705","2323 SAN ANTONIO ST, AUSTIN TX, 78705",163932,"DORMITORY\RETIREMENT FACILITY","1967",18.809,65.43,"",NA,NA,NA,NA,"2323 SAN ANTONIO ST
AUSTIN, TX 78705
(30.287311, -97.742693)","American Campus Communities","30.287311, -97.742693",30.287311,-97.742693
"1143",2017,"458317","12515 RESEARCH BLVD, AUSTIN TX, 78759","12515 RESEARCH BLVD, AUSTIN TX, 78759",55388,"INDUSTRIAL (W/sqft > 3)","1998",57.298,99.79,"",NA,NA,NA,NA,"12515 RESEARCH BLVD
AUSTIN, TX 78759
(30.431561, -97.759233)","SIR Properties Trust","30.431561, -97.759233",30.431561,-97.759233
"1144",2017,"225512","1106 CLAYTON LA, AUSTIN TX, 78723","1106 CLAYTON LA, AUSTIN TX, 78723",195851,"OFFICE LG > 35000","1973",13.276,26.37,"",NA,NA,NA,NA,"1106 CLAYTON LA
AUSTIN, TX 78723
(30.318115, -97.70141)","Omninet Property Management Twin Towers","30.318115, -97.70141",30.318115,-97.70141
"1145",2017,"105134","1100 W CESAR CHAVEZ ST, AUSTIN, TX 78703","1100 W. Cesar Chavez YMCA",60000,"RECREATION","1990",NA,NA,"04/07/2017 12:00:00 AM",NA,60000,NA,NA,"1100 W CESAR CHAVEZ ST
AUSTIN, TX 78703
(30.267894, -97.758216)","Blue Ocean Energy","30.267894, -97.758216",30.267894,-97.758216
"1146",2017,"461037","12042 BITTERN HOLW, AUSTIN TX, 78758","12042 BITTERN HOLW, AUSTIN TX, 78758",34347,"DORMITORY\RETIREMENT FACILITY","1995",22.023,NA,"",NA,NA,NA,NA,"12042 BITTERN HOLW
AUSTIN, TX 78758
(30.401817, -97.699292)","Gracy Woods Realty LLC","30.401817, -97.699292",30.401817,-97.699292
"1152",2017,"163295","12007 RESEARCH BLVD, AUSTIN TX, 78759","12007 RESEARCH BLVD, AUSTIN TX, 78759",150000,"OFFICE LG > 35000 (W/sqft > 5)","2005",17.146,43.84,"",NA,NA,NA,NA,"12007 RESEARCH BLVD
AUSTIN, TX 78759
(30.42586, -97.751628)","Trasnwestern","30.42586, -97.751628",30.42586,-97.751628
"1154",2017,"241269","2301 W ANDERSON LA AUSTIN TX 78757","2301 W ANDERSON LA AUSTIN TX 78757",18456,"OFFICE MED 10-35","1980",5.472,13.52,"",NA,NA,NA,NA,"2301 W ANDERSON LA
AUSTIN, TX 78757
(30.355708, -97.730055)","7801 Burnet Road, LP c/o Weitzman","30.355708, -97.730055",30.355708,-97.730055
"1156",2017,"232789","1624 HEADWAY CIR, AUSTIN TX, 78754","1624 HEADWAY CIR, AUSTIN TX, 78754",12458,"OFFICE MED 10-35","1983",21.055,54.45,"",NA,NA,NA,NA,"1624 HEADWAY CIR
AUSTIN, TX 78754
(30.334138, -97.68162)","CSC","30.334138, -97.68162",30.334138,-97.68162
"1159",2017,"815383","10711 RESEARCH BLVD AUSTIN TX 78759","10711 RESEARCH BLVD AUSTIN TX 78759",63154,"MOTEL\HOTEL","2013",11.615,NA,"",NA,NA,NA,NA,"10711 RESEARCH BLVD
AUSTIN, TX 78759
(30.398296, -97.745662)","Pathfinder Development","30.398296, -97.745662",30.398296,-97.745662
"1160",2017,"264764","12401 Scofield Farms Dr, Austin, TX 78758","12401 Scofield Farms Dr, Austin, TX 78758",66522,"EDUCATIONAL FACILITY","1992",5.598,23.81,"",NA,NA,NA,NA,"12401 Scofield Farms Dr
Austin, TX 78758
(30.408233, -97.688514)","Pflugerville Independent School District","30.408233, -97.688514",30.408233,-97.688514
"1161",2017,"502391","1909 W BRAKER LA, AUSTIN TX, 78758","1909 W BRAKER LA, AUSTIN TX, 78758",41550,"INDUSTRIAL","1985",0.451,2.71,"",NA,NA,NA,NA,"1909 W BRAKER LA
AUSTIN, TX 78758
(30.391715, -97.706996)","Endeavor Real Estate Group","30.391715, -97.706996",30.391715,-97.706996
"1162",2017,"291863","5016 E BEN WHITE BLVD, Austin, TX 78741","21193-Austin/5016E Ben Wht & Montopols",52000,"MINI WAREHOUSE","1985",NA,NA,"05/15/2017 12:00:00 AM",3.8,61800,NA,NA,"5016 E BEN WHITE BLVD
Austin, TX 78741
(30.214345, -97.72619)","Public Storage","30.214345, -97.72619",30.214345,-97.72619
"1163",2017,"210509","201 W 30th, AUSTIN TX, 78705","201 W 30th, AUSTIN TX, 78705",7600,"CITY OF AUSTIN",".",0.152,NA,"",NA,NA,NA,NA,"201 W 30th
AUSTIN, TX 78705
(30.295042, -97.739009)","Austin Energy","30.295042, -97.739009",30.295042,-97.739009
"1164",2017,"255443","1021 W Braker Ln Austin TX 78753","1021 W Braker Ln Austin TX 78753",4750,"CITY OF AUSTIN","1980",21.718,NA,"",NA,NA,NA,NA,"1021 W Braker Ln
Austin, TX 78753
(30.384435, -97.692103)","Austin Energy","30.384435, -97.692103",30.384435,-97.692103
"1165",2017,"213576","2011 E 51 ST, AUSTIN TX, 78722","2011 E 51 ST, AUSTIN TX, 78722",18250,"CITY OF AUSTIN","1999",0.368,3.45,"",NA,NA,NA,NA,"2011 E 51 ST
AUSTIN, TX 78722
(30.301443, -97.692811)","Austin Energy","30.301443, -97.692811",30.301443,-97.692811
"1171",2017,"747373","200 E RIVERSIDE DR AUSTIN TX 78704","200 E RIVERSIDE DR AUSTIN TX 78704",92253,"RECREATION","1973",18.856,NA,"",NA,NA,NA,NA,"200 E RIVERSIDE DR
AUSTIN, TX 78704
(30.254914, -97.744717)","Live Oak","30.254914, -97.744717",30.254914,-97.744717
"1172",2017,"R094510","12885 RESEARCH BLVD, AUSTIN, TX  78750","12885 RESEARCH BLVD, AUSTIN, TX  78750",50500,"RETAIL CENTER","1984",7.569,NA,"",NA,NA,NA,NA,"12885 RESEARCH BLVD
AUSTIN, TX 78750
(30.43625, -97.772695)","Peloton Commercial Real Estate","30.43625, -97.772695",30.43625,-97.772695
"1175",2017,"324072","2701 W WILLIAM CANNON DR, AUSTIN TX, 78745","2701 W WILLIAM CANNON DR, AUSTIN TX, 78745",34748,"RESTAURANT\BAR","1978",29.756,50,"",NA,NA,NA,NA,"2701 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.207408, -97.816234)","Family Sports Inc.","30.207408, -97.816234",30.207408,-97.816234
"1176",2017,"361689, 361692, 361704, 361706","1300 E ANDERSON LA, AUSTIN TX, 78752","1300 E ANDERSON LA, AUSTIN TX, 78752",130510,"INDUSTRIAL (W/sqft > 3)","1980",17.538,96.25,"",NA,NA,NA,NA,"1300 E ANDERSON LA
AUSTIN, TX 78752
(30.334365, -97.68945)","Byram Properties","30.334365, -97.68945",30.334365,-97.68945
"1177",2017,"809692","11920 DOMAIN DR AUSTIN TX 78758","11920 DOMAIN DR AUSTIN TX 78758",70339,"STORE\GROCERY (W/sqft > 5)","2012",58.063,NA,"",NA,NA,NA,NA,"11920 DOMAIN DR
AUSTIN, TX 78758
(30.40557, -97.720877)","Whole Foods Market","30.40557, -97.720877",30.40557,-97.720877
"1179",2017,"526894","13505 IMMANUEL RD AUSTIN TX 78660","13505 IMMANUEL RD AUSTIN TX 78660",12020,"WAREHOUSE","2005",2.871,NA,"",NA,NA,NA,NA,"13505 IMMANUEL RD
AUSTIN, TX 78660
(30.401028, -97.631129)","STRATTON MARY CARTER REVOCABLE TRUST","30.401028, -97.631129",30.401028,-97.631129
"1180",2017,"291771","2191 WOODWARD ST Austin TX 78744","2191 WOODWARD ST Austin TX 78744",55008,"INDUSTRIAL (W/sqft > 3)","1981",19.775,83.13,"",NA,NA,NA,NA,"2191 WOODWARD ST
Austin, TX 78744
(30.211412, -97.746544)","illumitex","30.211412, -97.746544",30.211412,-97.746544
"1181",2017,"R502524","10701 LAKELINE MALL BLVD, AUSTIN, TX  78717","10701 LAKELINE MALL BLVD, AUSTIN, TX  78717",38178,"MOTEL\HOTEL","2009",11.062,26.06,"",NA,NA,NA,NA,"10701 LAKELINE MALL BLVD
AUSTIN, TX 78717
(30.475615, -97.792542)","Ash Hospitality","30.475615, -97.792542",30.475615,-97.792542
"1182",2017,"260123","2120 W BRAKER LA, AUSTIN TX, 78756","2120 W BRAKER LA, AUSTIN TX, 78756",45913,"INDUSTRIAL","1984",12.956,62.29,"",NA,NA,NA,NA,"2120 W BRAKER LA
AUSTIN, TX 78756
(30.393097, -97.709848)","Stream Realty","30.393097, -97.709848",30.393097,-97.709848
"1184",2017,"176276","10111 Anderson Mill Blvd Austin TX 78750","10111 Anderson Mill Blvd Austin TX 78750",9000,"","",0,NA,"",NA,NA,NA,NA,"10111 Anderson Mill Blvd
Austin, TX 78750
(30.447162, -97.801918)","Austin Energy","30.447162, -97.801918",30.447162,-97.801918
"1185",2017,"552896","2709 S LAMAR BLVD, AUSTIN TX, 78704","2709 S LAMAR BLVD, AUSTIN TX, 78704",27579,"MINI WAREHOUSE","1973",1.109,47.67,"",NA,NA,NA,NA,"2709 S LAMAR BLVD
AUSTIN, TX 78704
(30.244673, -97.780849)","RLS Mini storage","30.244673, -97.780849",30.244673,-97.780849
"1187",2017,"R491646","12201 TECHNOLOGY BLVD, AUSTIN, TX  78727","12201 TECHNOLOGY BLVD, AUSTIN, TX  78727",68288,"INDUSTRIAL (W/sqft > 3)","1981",19.434,82.5,"",NA,NA,NA,NA,"12201 TECHNOLOGY BLVD
AUSTIN, TX 78727
(30.433423, -97.760003)","illumitex","30.433423, -97.760003",30.433423,-97.760003
"1188",2017,"787733, 787734, 787763, 787764","1201 Barbara Jordan Blvd, Austin, TX 78723","1201 Barbara Jordan Blvd, Austin, TX 78723",500389,"RETAIL CENTER","2007",16.123,35.22,"",NA,NA,NA,NA,"1201 Barbara Jordan Blvd
Austin, TX 78723
(30.306845, -97.709573)","Cole MT Sunset Valley TX, LLC","30.306845, -97.709573",30.306845,-97.709573
"1189",2017,"104440","1044 LIBERTY PARK DR, AUSTIN TX, 78746","1044 LIBERTY PARK DR, AUSTIN TX, 78746",12736,"OFFICE MED 10-35","1998",18.781,74.02,"",NA,NA,NA,NA,"1044 LIBERTY PARK DR
AUSTIN, TX 78746
(30.266387, -97.789811)","Data Foundry","30.266387, -97.789811",30.266387,-97.789811
"1190",2017,"478048","1701 E PARMER LA, AUSTIN TX, 78753","1701 E PARMER LA, AUSTIN TX, 78753",12858,"STORE\GROCERY (W/sqft > 5)","2006",41.229,39.74,"04/06/2017 12:00:00 AM",NA,NA,NA,NA,"1701 E PARMER LA
AUSTIN, TX 78753
(30.386557, -97.647948)","Sylvania Lighting Solutions","30.386557, -97.647948",30.386557,-97.647948
"1191",2017,"256582","2201 DENTON DR, AUSTIN TX, 78758","2201 DENTON DR, AUSTIN TX, 78758",30456,"INDUSTRIAL","1984",6.836,41.88,"",NA,NA,NA,NA,"2201 DENTON DR
AUSTIN, TX 78758
(30.386199, -97.714829)","River City Partners","30.386199, -97.714829",30.386199,-97.714829
"1192",2017,"371771","1300 W OLTORF ST, AUSTIN TX, 78704","1300 W OLTORF ST, AUSTIN TX, 78704",14000,"WAREHOUSE","1996",6.375,41.27,"",NA,NA,NA,NA,"1300 W OLTORF ST
AUSTIN, TX 78704
(30.245489, -97.768522)","Oltorf Ventures, LLC","30.245489, -97.768522",30.245489,-97.768522
"1193",2017,"226405","1201 W 49 1/2 ST Austin TX 78756","1201 W 49 1/2 ST Austin TX 78756",11520,"OFFICE MED 10-35","1971",9.251,3.56,"",NA,NA,NA,NA,"1201 W 49 1 2 ST
Austin, TX 78756
(30.319491, -97.736782)","Girling Children Partnership","30.319491, -97.736782",30.319491,-97.736782
"1194",2017,"202007","1806 RIO GRANDE ST, AUSTIN TX, 78701","1806 RIO GRANDE ST, AUSTIN TX, 78701",11452,"OFFICE LG > 35000 (W/sqft > 5)","1920",6.968,7.84,"",NA,NA,NA,NA,"1806 RIO GRANDE ST
AUSTIN, TX 78701
(30.28192, -97.745074)","POPE-WATSON HOUSE/T3","30.28192, -97.745074",30.28192,-97.745074
"1195",2017,"748283","1316 W 5 ST Austin TX 78703","1316 W 5 ST Austin TX 78703",26421,"RETAIL CENTER","2008",0.836,NA,"",NA,NA,NA,NA,"1316 W 5 ST
Austin, TX 78703
(30.272629, -97.760627)","Pressler apartments","30.272629, -97.760627",30.272629,-97.760627
"1197",2017,"254532","205 FARLEY DR, AUSTIN TX, 78753","205 FARLEY DR, AUSTIN TX, 78753",11690,"WAREHOUSE","2001",4.595,43.17,"",NA,NA,NA,NA,"205 FARLEY DR
AUSTIN, TX 78753
(30.377337, -97.680549)","Aus Tex Towing & Recovery LLC","30.377337, -97.680549",30.377337,-97.680549
"1198",2017,"728092","12506 N LAMAR BLVD, AUSTIN TX, 78753","12506 N LAMAR BLVD, AUSTIN TX, 78753",105335,"MINI WAREHOUSE","2007",2,54.65,"",NA,NA,NA,NA,"12506 N LAMAR BLVD
AUSTIN, TX 78753
(30.408973, -97.678055)","Extra Space Properties 107 LLC","30.408973, -97.678055",30.408973,-97.678055
"1199",2017,"260131","11110 METRIC BLVD, AUSTIN TX, 78758","11110 METRIC BLVD, AUSTIN TX, 78758",39606,"INDUSTRIAL","1982",16.627,76.67,"",NA,NA,NA,NA,"11110 METRIC BLVD
AUSTIN, TX 78758
(30.391281, -97.709009)","illumitex","30.391281, -97.709009",30.391281,-97.709009
"1200",2017,"546660, 546662","1030 NORWOOD PARK BLVD, AUSTIN TX, 78753","1030 NORWOOD PARK BLVD, AUSTIN TX, 78753",35484,"RETAIL CENTER","2005",23.209,89.74,"",NA,NA,NA,NA,"1030 NORWOOD PARK BLVD
AUSTIN, TX 78753
(30.33872, -97.692623)","FMOC, Ltd.","30.33872, -97.692623",30.33872,-97.692623
"1201",2017,"313598","201 E BEN WHITE BLVD, AUSTIN TX, 78704","201 E BEN WHITE BLVD, AUSTIN TX, 78704",10500,"OFFICE MED 10-35","2004",30.335,91.81,"",NA,NA,NA,NA,"201 E BEN WHITE BLVD
AUSTIN, TX 78704
(30.22145, -97.762438)","Planned Parenthood of Greater Texas (PPGT)","30.22145, -97.762438",30.22145,-97.762438
"1202",2017,"232830","1609 CENTRE CREEK DR, AUSTIN TX, 78754","1609 CENTRE CREEK DR, AUSTIN TX, 78754",50524,"OFFICE LG > 35000","1983",21.321,53.77,"",NA,NA,NA,NA,"1609 CENTRE CREEK DR
AUSTIN, TX 78754
(30.335424, -97.679808)","Live Oak","30.335424, -97.679808",30.335424,-97.679808
"1204",2017,"305577","2620 S CONGRESS AVE, AUSTIN TX, 78704-5411","2620 S CONGRESS AVE, AUSTIN TX, 78704-5411",12906,"OTHER","1976",9.239,41.03,"",NA,NA,NA,NA,"2620 S CONGRESS AVE
AUSTIN, TX 78704-5411
(30.235825, -97.756105)","Weed-Corley-Fish","30.235825, -97.756105",30.235825,-97.756105
"1206",2017,"228728","1303 W KOENIG LN Austin TX 78756","1303 W KOENIG LN Austin TX 78756",48360,"AUTOMOTIVE SALES","1987",0.583,7.89,"",NA,NA,NA,NA,"1303 W KOENIG LN
Austin, TX 78756
(30.330335, -97.730468)","Hardeman Family Joint Venture LTD","30.330335, -97.730468",30.330335,-97.730468
"1207",2017,"860927, 505341","201 W HOWARD LN, Austin, TX 78753","201 W HOWARD LN, Austin, TX 78753",306488,"INDUSTRIAL (W/sqft > 3)","1998",18.664,NA,"",NA,NA,NA,NA,"201 W HOWARD LN
Austin, TX 78753
(30.417721, -97.65834)","Casa Marco Texas LLC","30.417721, -97.65834",30.417721,-97.65834
"1208",2017,"194447","919 CONGRESS AVE, AUSTIN TX, 78701","919 CONGRESS AVE, AUSTIN TX, 78701",164278,"OFFICE LG > 35000 (W/sqft > 5)","1983",19.995,48.04,"",NA,NA,NA,NA,"919 CONGRESS AVE
AUSTIN, TX 78701
(30.271585, -97.741493)","Moore and Associates","30.271585, -97.741493",30.271585,-97.741493
